,2NE1_zh.wikipedia.org_all-access_spider,2PM_zh.wikipedia.org_all-access_spider,3C_zh.wikipedia.org_all-access_spider,4minute_zh.wikipedia.org_all-access_spider,52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,5566_zh.wikipedia.org_all-access_spider,91Days_zh.wikipedia.org_all-access_spider,A'N'D_zh.wikipedia.org_all-access_spider,AKB48_zh.wikipedia.org_all-access_spider,ASCII_zh.wikipedia.org_all-access_spider
2015-10-14,8.0,11.0,2.0,28.0,,6.0,,6.0,19.0,16.0
2015-10-15,9.0,16.0,5.0,15.0,,8.0,,14.0,28.0,12.0
2015-10-16,11.0,12.0,10.0,8.0,,13.0,,4.0,25.0,16.0
2015-10-17,26.0,7.0,5.0,7.0,,21.0,,69.0,23.0,8.0
2015-10-18,18.0,15.0,6.0,7.0,,29.0,,25.0,35.0,10.0
2015-10-19,3.0,14.0,1.0,12.0,,38.0,,18.0,28.0,18.0
2015-10-20,5.0,12.0,4.0,5.0,,6.0,,3.0,11.0,16.0
2015-10-21,12.0,18.0,4.0,11.0,,22.0,,8.0,25.0,22.0
2015-10-22,6.0,29.0,1.0,3.0,,10.0,,5.0,19.0,12.0
2015-10-23,16.0,39.0,3.0,7.0,,6.0,,12.0,21.0,15.0
2015-10-24,19.0,11.0,13.0,23.0,,11.0,,18.0,28.0,13.0
2015-10-25,9.0,14.0,2.0,6.0,,13.0,,8.0,29.0,16.0
2015-10-26,10.0,28.0,1.0,3.0,,6.0,,45.0,36.0,19.0
2015-10-27,11.0,17.0,3.0,8.0,,8.0,,13.0,63.0,21.0
2015-10-28,11.0,20.0,2.0,8.0,,14.0,,3.0,61.0,23.0
2015-10-29,7.0,17.0,1.0,39.0,,16.0,,19.0,38.0,25.0
2015-10-30,9.0,36.0,10.0,4.0,,16.0,,43.0,38.0,12.0
2015-10-31,10.0,13.0,5.0,10.0,,4.0,,31.0,48.0,15.0
2015-11-01,24.0,11.0,6.0,6.0,,12.0,,15.0,70.0,14.0
2015-11-02,6.0,14.0,2.0,8.0,,7.0,,40.0,30.0,17.0
2015-11-03,6.0,14.0,5.0,9.0,,9.0,,63.0,39.0,16.0
2015-11-04,8.0,14.0,2.0,16.0,,9.0,,27.0,19.0,13.0
2015-11-05,16.0,33.0,2.0,9.0,,8.0,,3.0,38.0,14.0
2015-11-06,13.0,14.0,3.0,8.0,,11.0,,29.0,44.0,12.0
2015-11-07,10.0,13.0,2.0,8.0,,8.0,,20.0,25.0,9.0
2015-11-08,10.0,18.0,6.0,7.0,,17.0,,12.0,32.0,13.0
2015-11-09,6.0,13.0,3.0,5.0,,7.0,,12.0,33.0,18.0
2015-11-10,5.0,11.0,2.0,5.0,,4.0,,2.0,23.0,20.0
2015-11-11,20.0,8.0,1.0,12.0,,11.0,,5.0,16.0,7.0
2015-11-12,6.0,10.0,2.0,8.0,,8.0,,18.0,13.0,15.0
2015-11-13,47.0,11.0,3.0,15.0,,4.0,,6.0,20.0,21.0
2015-11-14,9.0,81.0,1.0,9.0,,3.0,,25.0,31.0,14.0
2015-11-15,9.0,14.0,1.0,12.0,,22.0,,13.0,16.0,13.0
2015-11-16,12.0,20.0,2.0,5.0,,9.0,,57.0,24.0,25.0
2015-11-17,11.0,6.0,2.0,7.0,,6.0,,5.0,24.0,19.0
2015-11-18,17.0,16.0,3.0,6.0,,13.0,,4.0,22.0,19.0
2015-11-19,15.0,18.0,2.0,12.0,,12.0,,1.0,15.0,23.0
2015-11-20,14.0,9.0,2.0,7.0,,12.0,,110.0,43.0,32.0
2015-11-21,11.0,12.0,5.0,6.0,,8.0,,93.0,34.0,20.0
2015-11-22,97.0,10.0,7.0,33.0,,7.0,,142.0,37.0,9.0
2015-11-23,11.0,8.0,2.0,5.0,,25.0,,114.0,41.0,14.0
2015-11-24,12.0,11.0,3.0,11.0,,7.0,,140.0,50.0,16.0
2015-11-25,11.0,14.0,4.0,6.0,,11.0,,37.0,59.0,21.0
2015-11-26,14.0,47.0,6.0,4.0,,9.0,,6.0,46.0,26.0
2015-11-27,15.0,13.0,1.0,32.0,,5.0,,30.0,72.0,14.0
2015-11-28,12.0,13.0,3.0,9.0,,21.0,,96.0,31.0,19.0
2015-11-29,104.0,6.0,6.0,17.0,,6.0,,18.0,28.0,24.0
2015-11-30,5.0,10.0,3.0,2.0,,12.0,,66.0,17.0,14.0
2015-12-01,22.0,8.0,3.0,10.0,,5.0,,25.0,42.0,15.0
2015-12-02,45.0,8.0,4.0,10.0,,12.0,,3.0,54.0,21.0
2015-12-03,75.0,8.0,2.0,5.0,,9.0,,9.0,59.0,17.0
2015-12-04,29.0,18.0,2.0,7.0,,7.0,,153.0,13.0,27.0
2015-12-05,34.0,31.0,4.0,11.0,,11.0,,246.0,23.0,11.0
2015-12-06,20.0,16.0,3.0,8.0,,73.0,,100.0,31.0,21.0
2015-12-07,12.0,15.0,1.0,10.0,,14.0,,38.0,44.0,16.0
2015-12-08,25.0,10.0,5.0,6.0,,4.0,,40.0,40.0,27.0
2015-12-09,9.0,13.0,5.0,17.0,,12.0,,24.0,32.0,23.0
2015-12-10,62.0,9.0,4.0,11.0,,11.0,,6.0,27.0,28.0
2015-12-11,20.0,32.0,2.0,20.0,,5.0,,7.0,28.0,23.0
2015-12-12,19.0,161.0,4.0,11.0,,20.0,,21.0,31.0,21.0
2015-12-13,8.0,6.0,5.0,15.0,,7.0,,88.0,39.0,18.0
2015-12-14,23.0,20.0,4.0,18.0,,6.0,,57.0,15.0,35.0
2015-12-15,13.0,8.0,2.0,10.0,,9.0,,21.0,56.0,29.0
2015-12-16,16.0,11.0,1.0,15.0,,17.0,,16.0,131.0,17.0
2015-12-17,34.0,13.0,6.0,12.0,,14.0,,34.0,27.0,25.0
2015-12-18,36.0,8.0,1.0,12.0,,17.0,,18.0,40.0,28.0
2015-12-19,11.0,19.0,1.0,12.0,,10.0,,27.0,27.0,20.0
2015-12-20,18.0,7.0,3.0,8.0,,16.0,,13.0,32.0,15.0
2015-12-21,12.0,9.0,1.0,13.0,,8.0,,80.0,25.0,22.0
2015-12-22,24.0,16.0,3.0,9.0,,8.0,,26.0,38.0,19.0
2015-12-23,30.0,11.0,5.0,11.0,,14.0,,7.0,36.0,25.0
2015-12-24,27.0,6.0,3.0,4.0,,13.0,,11.0,46.0,23.0
2015-12-25,44.0,38.0,3.0,12.0,,14.0,,15.0,26.0,36.0
2015-12-26,35.0,11.0,0.0,9.0,,13.0,,12.0,42.0,16.0
2015-12-27,53.0,17.0,5.0,6.0,,7.0,,19.0,20.0,13.0
2015-12-28,11.0,13.0,3.0,12.0,,14.0,,9.0,34.0,25.0
2015-12-29,26.0,12.0,2.0,9.0,,10.0,,19.0,27.0,13.0
2015-12-30,13.0,12.0,2.0,9.0,,16.0,,17.0,26.0,19.0
2015-12-31,18.0,9.0,2.0,6.0,,14.0,,32.0,46.0,24.0
2016-01-01,9.0,7.0,2.0,7.0,,10.0,,156.0,44.0,11.0
2016-01-02,16.0,15.0,0.0,7.0,,9.0,,84.0,48.0,18.0
2016-01-03,6.0,14.0,3.0,11.0,,8.0,,61.0,33.0,20.0
2016-01-04,19.0,14.0,3.0,7.0,,14.0,,33.0,21.0,27.0
2016-01-05,20.0,11.0,3.0,14.0,,5.0,,18.0,47.0,26.0
2016-01-06,19.0,13.0,4.0,9.0,,10.0,,25.0,32.0,21.0
2016-01-07,22.0,12.0,4.0,21.0,,11.0,,270.0,19.0,30.0
2016-01-08,30.0,12.0,8.0,9.0,,22.0,,108.0,20.0,36.0
2016-01-09,14.0,24.0,3.0,10.0,,13.0,,39.0,30.0,36.0
2016-01-10,16.0,15.0,5.0,13.0,,9.0,,31.0,37.0,41.0
2016-01-11,22.0,38.0,8.0,10.0,,10.0,,242.0,45.0,33.0
2016-01-12,15.0,18.0,1.0,13.0,,12.0,,45.0,24.0,23.0
2016-01-13,15.0,26.0,4.0,16.0,,15.0,,51.0,38.0,21.0
2016-01-14,26.0,15.0,0.0,8.0,,14.0,,99.0,31.0,31.0
2016-01-15,16.0,12.0,3.0,10.0,,11.0,,35.0,39.0,16.0
2016-01-16,13.0,14.0,6.0,7.0,,9.0,,52.0,35.0,24.0
2016-01-17,27.0,40.0,3.0,13.0,,12.0,,46.0,32.0,24.0
2016-01-18,18.0,19.0,1.0,18.0,,6.0,,45.0,32.0,12.0
2016-01-19,13.0,13.0,3.0,8.0,,18.0,,26.0,44.0,16.0
2016-01-20,32.0,39.0,3.0,50.0,,11.0,,29.0,50.0,23.0
2016-01-21,31.0,19.0,3.0,8.0,,20.0,,33.0,54.0,29.0
2016-01-22,16.0,16.0,1.0,33.0,,16.0,,43.0,31.0,14.0
2016-01-23,38.0,19.0,3.0,6.0,,14.0,,38.0,30.0,16.0
2016-01-24,18.0,11.0,8.0,22.0,,15.0,,25.0,24.0,12.0
2016-01-25,9.0,76.0,4.0,9.0,,11.0,,23.0,33.0,28.0
2016-01-26,14.0,14.0,3.0,84.0,,12.0,,38.0,25.0,23.0
2016-01-27,10.0,19.0,2.0,28.0,,17.0,,35.0,24.0,38.0
2016-01-28,24.0,26.0,5.0,11.0,,11.0,,27.0,38.0,30.0
2016-01-29,8.0,19.0,6.0,7.0,,19.0,,40.0,34.0,40.0
2016-01-30,15.0,17.0,3.0,14.0,,13.0,,24.0,47.0,17.0
2016-01-31,18.0,30.0,6.0,16.0,,13.0,,68.0,31.0,11.0
2016-02-01,10.0,17.0,5.0,49.0,,7.0,,22.0,34.0,16.0
2016-02-02,23.0,17.0,6.0,71.0,,24.0,,40.0,41.0,14.0
2016-02-03,17.0,17.0,7.0,29.0,,8.0,,13.0,42.0,16.0
2016-02-04,11.0,19.0,3.0,22.0,,6.0,,19.0,39.0,20.0
2016-02-05,26.0,11.0,1.0,6.0,,9.0,,43.0,24.0,21.0
2016-02-06,14.0,175.0,5.0,34.0,,12.0,,26.0,18.0,18.0
2016-02-07,8.0,10.0,1.0,16.0,,5.0,,22.0,28.0,17.0
2016-02-08,12.0,5.0,2.0,14.0,,10.0,,13.0,25.0,13.0
2016-02-09,9.0,12.0,0.0,9.0,,5.0,,75.0,24.0,12.0
2016-02-10,11.0,7.0,1.0,12.0,,8.0,,25.0,76.0,20.0
2016-02-11,34.0,12.0,4.0,24.0,,2.0,,30.0,46.0,20.0
2016-02-12,17.0,14.0,3.0,18.0,,9.0,,39.0,29.0,21.0
2016-02-13,29.0,19.0,3.0,8.0,,10.0,,5.0,37.0,17.0
2016-02-14,11.0,11.0,9.0,26.0,,10.0,,43.0,92.0,23.0
2016-02-15,9.0,19.0,4.0,8.0,,15.0,,24.0,157.0,20.0
2016-02-16,14.0,17.0,7.0,8.0,,18.0,,41.0,42.0,23.0
2016-02-17,21.0,15.0,5.0,13.0,,19.0,,266.0,38.0,29.0
2016-02-18,12.0,19.0,10.0,21.0,,45.0,,15.0,37.0,28.0
2016-02-19,11.0,15.0,2.0,9.0,,6.0,,15.0,40.0,17.0
2016-02-20,13.0,9.0,3.0,10.0,,13.0,,17.0,28.0,19.0
2016-02-21,11.0,20.0,3.0,14.0,,40.0,,63.0,68.0,14.0
2016-02-22,13.0,6.0,4.0,12.0,,14.0,,39.0,41.0,22.0
2016-02-23,16.0,11.0,2.0,9.0,,11.0,,35.0,29.0,32.0
2016-02-24,13.0,6.0,3.0,10.0,,8.0,,31.0,104.0,25.0
2016-02-25,19.0,15.0,5.0,20.0,,5.0,,32.0,28.0,22.0
2016-02-26,21.0,20.0,3.0,15.0,,17.0,,26.0,24.0,23.0
2016-02-27,14.0,35.0,6.0,26.0,,16.0,,77.0,33.0,30.0
2016-02-28,11.0,34.0,4.0,24.0,,13.0,,25.0,44.0,21.0
2016-02-29,35.0,21.0,5.0,19.0,,22.0,,111.0,39.0,17.0
2016-03-01,18.0,17.0,5.0,10.0,,16.0,,22.0,39.0,26.0
2016-03-02,42.0,22.0,2.0,12.0,,10.0,,35.0,40.0,16.0
2016-03-03,15.0,26.0,1.0,8.0,,11.0,,15.0,31.0,27.0
2016-03-04,5.0,16.0,4.0,16.0,,18.0,,28.0,43.0,43.0
2016-03-05,21.0,16.0,7.0,13.0,,53.0,,21.0,52.0,25.0
2016-03-06,56.0,28.0,2.0,8.0,,213.0,,20.0,56.0,30.0
2016-03-07,9.0,19.0,2.0,17.0,,20.0,,17.0,55.0,28.0
2016-03-08,20.0,17.0,5.0,12.0,,19.0,,10.0,52.0,25.0
2016-03-09,17.0,15.0,1.0,34.0,,15.0,,12.0,25.0,42.0
2016-03-10,18.0,11.0,0.0,10.0,,4.0,,9.0,18.0,28.0
2016-03-11,8.0,7.0,3.0,9.0,,8.0,,36.0,18.0,23.0
2016-03-12,9.0,15.0,3.0,9.0,,14.0,,21.0,28.0,23.0
2016-03-13,17.0,11.0,1.0,15.0,,8.0,,14.0,17.0,33.0
2016-03-14,9.0,36.0,2.0,10.0,,11.0,,36.0,31.0,19.0
2016-03-15,10.0,16.0,4.0,12.0,,15.0,,8.0,35.0,28.0
2016-03-16,14.0,22.0,2.0,8.0,,13.0,,20.0,64.0,31.0
2016-03-17,17.0,18.0,2.0,11.0,,8.0,,11.0,69.0,21.0
2016-03-18,6.0,46.0,3.0,9.0,,11.0,,54.0,24.0,25.0
2016-03-19,18.0,17.0,4.0,28.0,,7.0,,8.0,16.0,23.0
2016-03-20,13.0,15.0,7.0,17.0,,12.0,,7.0,34.0,32.0
2016-03-21,11.0,17.0,1.0,11.0,,22.0,,15.0,28.0,36.0
2016-03-22,12.0,12.0,1.0,13.0,,19.0,,53.0,42.0,21.0
2016-03-23,11.0,17.0,10.0,10.0,,9.0,,14.0,24.0,28.0
2016-03-24,8.0,14.0,9.0,10.0,,11.0,,20.0,43.0,17.0
2016-03-25,15.0,15.0,5.0,10.0,,11.0,,17.0,22.0,39.0
2016-03-26,11.0,14.0,1.0,16.0,,8.0,,20.0,114.0,32.0
2016-03-27,20.0,15.0,6.0,12.0,,11.0,,14.0,41.0,27.0
2016-03-28,59.0,28.0,7.0,12.0,,14.0,,11.0,23.0,22.0
2016-03-29,11.0,36.0,4.0,13.0,,17.0,,18.0,28.0,39.0
2016-03-30,18.0,23.0,6.0,25.0,,13.0,,15.0,37.0,34.0
2016-03-31,17.0,12.0,2.0,25.0,,12.0,,28.0,33.0,30.0
2016-04-01,12.0,25.0,4.0,18.0,,14.0,,39.0,38.0,49.0
2016-04-02,14.0,18.0,155.0,18.0,,8.0,,19.0,73.0,18.0
2016-04-03,13.0,18.0,155.0,23.0,,18.0,,23.0,28.0,14.0
2016-04-04,9.0,16.0,83.0,27.0,,20.0,,22.0,28.0,14.0
2016-04-05,490.0,20.0,48.0,39.0,,28.0,,14.0,25.0,22.0
2016-04-06,189.0,17.0,31.0,11.0,,19.0,,13.0,27.0,50.0
2016-04-07,102.0,16.0,16.0,16.0,,21.0,,47.0,28.0,24.0
2016-04-08,38.0,13.0,6.0,9.0,,21.0,,8.0,36.0,29.0
2016-04-09,126.0,15.0,13.0,26.0,,26.0,,12.0,76.0,28.0
2016-04-10,71.0,19.0,8.0,14.0,,17.0,,10.0,35.0,22.0
2016-04-11,21.0,14.0,8.0,15.0,,27.0,,8.0,66.0,37.0
2016-04-12,57.0,20.0,5.0,10.0,,22.0,,22.0,61.0,33.0
2016-04-13,79.0,37.0,7.0,23.0,,20.0,,16.0,68.0,35.0
2016-04-14,17.0,16.0,3.0,17.0,,33.0,,12.0,32.0,28.0
2016-04-15,17.0,15.0,4.0,74.0,,21.0,,19.0,48.0,27.0
2016-04-16,23.0,11.0,6.0,114.0,,17.0,,11.0,27.0,25.0
2016-04-17,16.0,42.0,7.0,8.0,38.0,14.0,,46.0,39.0,20.0
2016-04-18,23.0,10.0,10.0,15.0,159.0,8.0,,15.0,57.0,36.0
2016-04-19,18.0,14.0,9.0,15.0,9.0,8.0,,16.0,43.0,23.0
2016-04-20,22.0,61.0,7.0,15.0,4.0,10.0,,30.0,31.0,28.0
2016-04-21,44.0,39.0,8.0,12.0,1.0,14.0,,17.0,37.0,28.0
2016-04-22,6.0,17.0,4.0,14.0,10.0,28.0,,18.0,27.0,27.0
2016-04-23,31.0,17.0,6.0,14.0,9.0,23.0,,32.0,26.0,19.0
2016-04-24,17.0,41.0,5.0,23.0,2.0,26.0,,17.0,22.0,27.0
2016-04-25,25.0,35.0,2.0,21.0,0.0,11.0,,141.0,62.0,22.0
2016-04-26,40.0,16.0,7.0,11.0,5.0,28.0,,150.0,25.0,33.0
2016-04-27,19.0,9.0,3.0,19.0,0.0,6.0,,13.0,27.0,21.0
2016-04-28,15.0,64.0,7.0,9.0,3.0,18.0,,107.0,25.0,42.0
2016-04-29,15.0,22.0,6.0,10.0,55.0,18.0,,30.0,15.0,15.0
2016-04-30,29.0,22.0,3.0,11.0,234.0,19.0,,23.0,25.0,19.0
2016-05-01,18.0,66.0,1.0,14.0,57.0,11.0,,12.0,40.0,25.0
2016-05-02,16.0,33.0,6.0,9.0,5.0,11.0,,17.0,26.0,11.0
2016-05-03,13.0,30.0,2.0,5.0,4.0,18.0,,28.0,26.0,20.0
2016-05-04,20.0,16.0,1.0,10.0,4.0,16.0,,24.0,34.0,23.0
2016-05-05,22.0,18.0,3.0,20.0,0.0,25.0,,73.0,40.0,22.0
2016-05-06,19.0,45.0,8.0,22.0,9.0,19.0,,88.0,107.0,34.0
2016-05-07,11.0,17.0,3.0,16.0,9.0,8.0,,17.0,45.0,16.0
2016-05-08,50.0,88.0,5.0,9.0,6.0,13.0,,27.0,44.0,28.0
2016-05-09,22.0,23.0,4.0,10.0,6.0,14.0,,50.0,35.0,38.0
2016-05-10,39.0,18.0,7.0,42.0,6.0,12.0,,29.0,42.0,47.0
2016-05-11,23.0,12.0,5.0,22.0,10.0,8.0,,51.0,37.0,25.0
2016-05-12,21.0,12.0,2.0,7.0,7.0,16.0,,28.0,143.0,29.0
2016-05-13,23.0,13.0,5.0,7.0,5.0,13.0,,78.0,36.0,33.0
2016-05-14,22.0,13.0,0.0,54.0,4.0,14.0,,24.0,34.0,23.0
2016-05-15,16.0,5.0,3.0,7.0,6.0,14.0,,7.0,25.0,19.0
2016-05-16,19.0,11.0,12.0,9.0,4.0,8.0,,25.0,16.0,35.0
2016-05-17,35.0,13.0,4.0,13.0,2.0,9.0,,8.0,22.0,34.0
2016-05-18,16.0,11.0,2.0,5.0,6.0,13.0,,24.0,27.0,38.0
2016-05-19,12.0,22.0,4.0,10.0,5.0,15.0,,58.0,22.0,35.0
2016-05-20,15.0,10.0,6.0,12.0,3.0,20.0,,24.0,32.0,38.0
2016-05-21,13.0,13.0,4.0,18.0,3.0,15.0,,36.0,39.0,18.0
2016-05-22,14.0,17.0,5.0,23.0,2.0,13.0,,37.0,28.0,14.0
